id;kategori_pertanyaan;intent;pertanyaan;jawaban;rekomendasi
1;FAQ;BIAYA;min tarif kegiatan berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
2;FAQ;LOKASI;Halo kak, tempat kegiatan dimana ya?;Kidsland Membumi berlokasi di Jl. Raya Bojonggenteng No3 , Kabupaten Sukabumi.;
3;FAQ;LOKASI;alamat kidsland dimana kak..;Kidsland Membumi berlokasi di Bojonggenteng, Kabupaten Sukabumi.;
4;FAQ;USIA;Selamat malam usia minimal berapa?;Kidsland Membumi dapat diikuti anak usia 3-10 tahun.;
5;FAQ;USIA;min umur berapa bisa ikut ya.;Kidsland Membumi dapat diikuti anak usia 3-10 tahun.;
6;FAQ;JADWAL;Kak hari apa kegiatannya nih?;Kegiatan biasanya dilaksanakan pada akhir pekan dan diumumkan melalui Instagram.;
7;FAQ;JADWAL;Hlo kak kapan kls berikutnya;Kegiatan biasanya dilaksanakan pada akhir pekan dan diumumkan melalui Instagram.;
8;FAQ;PROGRAM;program apa ini min?;Kidsland Membumi merupakan media belajar sambil bermain yang mendorong eksplorasi alam anak.;
9;FAQ;PROGRAM;Permisi program apa ini?;Kidsland Membumi merupakan media belajar sambil bermain yang mendorong eksplorasi alam anak.;
10;FAQ;LOKASI;Dmna lokasi kidsland ya kak;Kidsland Membumi berlokasi di Bojonggenteng, Kabupaten Sukabumi.;
11;FAQ;USIA;halo kak anak 2 tahun boleh ikut?;Kidsland Membumi dapat diikuti anak usia 3-10 tahun.;
12;REKOMENDASI;REKOMENDASI;Permisi anak suka lumpur cocok kegiatan apa;Aktivitas alam direkomendasikan.;Mandi Lumpur
13;FAQ;LOKASI;Alamat kidsland dmna kak;Kidsland Membumi berlokasi di Bojonggenteng, Kabupaten Sukabumi.;
14;FAQ;LOKASI;tempat kegiatan dimana;Kidsland Membumi berlokasi di Bojonggenteng, Kabupaten Sukabumi.;
15;REKOMENDASI;REKOMENDASI;kak anak aktif bergerak ya kak;Aktivitas motorik kasar direkomendasikan.;Permainan Estafet
16;REKOMENDASI;REKOMENDASI;min anak pemalu ya kak;Aktivitas kelompok kecil direkomendasikan.;Kolase Bersama
17;FAQ;USIA;min start usia brapa ya;Kidsland Membumi dapat diikuti anak usia 3-10 tahun.;
18;FAQ;USIA;permisi anak 2 tahun boleh ikut dong kak;Kidsland Membumi dapat diikuti anak usia 3-10 tahun.;
19;FAQ;JADWAL;min weekend ada kegiatan dong;Kegiatan biasanya dilaksanakan pada akhir pekan dan diumumkan melalui Instagram.;
20;FAQ;JADWAL;min apakah tiap minggu;Kegiatan biasanya dilaksanakan pada akhir pekan dan diumumkan melalui Instagram.;
21;FAQ;BIAYA;permisi biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
22;FAQ;BIAYA;halo kak harga kegiatan berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
23;FAQ;BIAYA;min harga kegiatan berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
24;FAQ;BIAYA;halo kak harga kegiatan berapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
25;FAQ;BIAYA;permisi tarif kegiatan berapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
26;FAQ;BIAYA;min harga kegiatan berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
27;FAQ;BIAYA;halo kak berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
28;FAQ;BIAYA;harga kegiatan brapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
29;FAQ;BIAYA;selamat malam harga kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
30;FAQ;BIAYA;halo kak kalau ikut bayar berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
31;FAQ;BIAYA;min harga kegiatan berapa ya kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
32;FAQ;BIAYA;selamat malam harga kegiatan berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
33;FAQ;BIAYA;min harga kegiatan berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
34;FAQ;BIAYA;permisi biayaa kidsland brp ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
35;FAQ;BIAYA;halo kak berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
36;FAQ;BIAYA;permisi brp biayaa kidsland dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
37;FAQ;BIAYA;permisi harga kegiatan berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
38;FAQ;BIAYA;halo kak berapa biaya kidsland dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
39;FAQ;BIAYA;permisi harga kegiatan berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
40;FAQ;BIAYA;selamat malam tarif kegiatan berapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
41;FAQ;BIAYA;halo kak kalau ikut bayar brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
42;FAQ;BIAYA;permisi harga kegiatan berapa ya kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
43;FAQ;BIAYA;kak brp biayaa kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
44;FAQ;BIAYA;kak berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
45;FAQ;BIAYA;kak biayaa kidsland brp?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
46;FAQ;BIAYA;tarif kegiatan brapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
47;FAQ;BIAYA;selamat malam biayaa kidsland brp?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
48;FAQ;BIAYA;min kalau ikut bayar berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
49;FAQ;BIAYA;selamat malam brapa biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
50;FAQ;BIAYA;kak kalau ikut bayar brapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
51;FAQ;BIAYA;halo kak biayaa kidsland brp;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
52;FAQ;BIAYA;kak tarif kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
53;FAQ;BIAYA;biayaa kidsland brp dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
54;FAQ;BIAYA;kak harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
55;FAQ;BIAYA;selamat malam harga kegiatan berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
56;FAQ;BIAYA;halo kak brapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
57;FAQ;BIAYA;selamat malam tarif kegiatan brapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
58;FAQ;BIAYA;tarif kegiatan brapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
59;FAQ;BIAYA;kak kalau ikut bayar berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
60;FAQ;BIAYA;permisi tarif kegiatan berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
61;FAQ;BIAYA;berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
62;FAQ;BIAYA;selamat malam biayaa kidsland brp dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
63;FAQ;BIAYA;kak biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
64;FAQ;BIAYA;kak berapa biaya kidsland dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
65;FAQ;BIAYA;selamat malam tarif kegiatan berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
66;FAQ;BIAYA;selamat malam harga kegiatan berapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
67;FAQ;BIAYA;min kalau ikut bayar berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
68;FAQ;BIAYA;tarif kegiatan berapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
69;FAQ;BIAYA;min harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
70;FAQ;BIAYA;selamat malam brp biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
71;FAQ;BIAYA;kak kalau ikut bayar berapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
72;FAQ;BIAYA;kalau ikut bayar berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
73;FAQ;BIAYA;selamat malam berapa biayaa kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
74;FAQ;BIAYA;selamat malam brp biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
75;FAQ;BIAYA;min biayaa kidsland brp dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
76;FAQ;BIAYA;min biayaa kidsland brp ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
77;FAQ;BIAYA;kak harga kegiatan berapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
78;FAQ;BIAYA;permisi harga kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
79;FAQ;BIAYA;selamat malam kalau ikut bayar brapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
80;FAQ;BIAYA;kak brp biaya kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
81;FAQ;BIAYA;kalau ikut bayar brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
82;FAQ;BIAYA;halo kak brp biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
83;FAQ;BIAYA;min harga kegiatan brapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
84;FAQ;BIAYA;selamat malam kalau ikut bayar berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
85;FAQ;BIAYA;permisi brapa biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
86;FAQ;BIAYA;permisi brapa biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
87;FAQ;BIAYA;permisi brapa biaya kidsland;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
88;FAQ;BIAYA;permisi brp biaya kidsland ya kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
